Iteration                     Pivot Distance                Total time (s)                Iteration time (s)            Best integer solution         Improvment                    Max phase                     Zoom                          Column addition strategy      Column addition rate          
1                             1                             4.507000                      1.188000                      1852202.58000001              -312369.01100000              1                             No                            No                            _                             
2                             1                             4.932000                      0.425000                      1747520.22600001              -103241.35700000              1                             No                            No                            _                             
3                             1                             5.297000                      0.365000                      1687835.92000001              -59455.05600000               1                             No                            No                            _                             
4                             1                             5.429000                      0.131000                      1671169.09300000              -16666.82700000               1                             No                            No                            _                             
5                             1                             5.665000                      0.235000                      1632307.85600000              -38861.23700000               1                             No                            No                            _                             
6                             1                             5.934000                      0.269000                      1604249.69600000              -20324.58000000               1                             No                            No                            _                             
7                             1                             7.283000                      1.348000                      1269483.54700000              -334766.14900000              2                             No                            No                            _                             
8                             1                             8.090000                      0.807000                      1188911.18000000              -80350.62000000               2                             No                            No                            _                             
9                             1                             9.155000                      1.064000                      1188005.10000000              -906.08000000                 2                             Yes                           No                            _                             
10                            1                             9.307000                      0.152000                      1183200.92900000              -4804.17100000                1                             No                            No                            _                             
11                            1                             10.132000                     0.824000                      1147968.03300000              -35136.88600000               2                             No                            No                            _                             
12                            1                             14.236000                     4.103000                      1138200.87000000              -7939.82900000                2                             No                            No                            _                             
13                            1                             16.649000                     2.413000                      1041084.28000000              -97116.59000000               4                             No                            No                            _                             
14                            1                             16.865000                     0.215000                      1039261.37000000              -1702.91000000                1                             No                            No                            _                             
15                            1                             17.015000                     0.149000                      1038433.37000000              -828.00000000                 1                             No                            No                            _                             
16                            1                             17.139000                     0.124000                      1037892.37000000              -541.00000000                 1                             No                            No                            _                             
17                            1                             17.696000                     0.556000                      1035144.27000000              -2748.10000000                2                             No                            No                            _                             
18                            1                             18.135000                     0.439000                      1034859.27300000              -240.00000000                 2                             No                            No                            _                             
